submittedTaxon
Datura metel
Ainsliaea yunnanensis
Suregada procera
Crepis lignea
Clematis brevicaudata
Rotheca serrata
Berberis wangii
Clematis meyeniana
Piloselloides hirsuta
Ottelia alismoides
Isodon ternifolius
Clematis apiifolia
Chlorophytum minor
Hydrangea macrophylla
Carex baccans
Euonymus grandiflorus
Dipterocarpus tuberculatus
Gigantochloa parvifolia
Arenga caudata
Vaccinium urceolatum
Trichosanthes rosthornii
Dipterocarpus turbinatus
Calamus pandanosmus
Quercus phillyreoides
Carallia brachiata
Desplatsia dewevrei
Enkleia malaccensis
Tetrorchidium didymostemon
Gnetum edule
Pueraria peduncularis
Gonocaryum lobbianum
Gigantochloa albociliata
Holoptelea integrifolia
Hymenopyramis brachiata
Dipterocarpus retusus
Persicaria chinensis
Globba pendula
Globba schomburgkii
Leersia hexandra
Pristimera indica
Fimbristylis dichotoma
Piper wallichii
Hopea helferi
Photinia glabra
Glinus oppositifolius
Viburnum brachybotryum
Aubrevillea kerstingii
Wisteria sinensis
Tabernaemontana crassa
Chrysophyllum subnudum
Combretum zenkeri
Lactuca muralis
Strombosia grandifolia
Sterculia oblonga
Triplochiton scleroxylon
Pycnocoma chevalieri
Platycerium elephantotis
Trilepisium madagascariensis
Anogeissus sp.
Irvingia grandifolia
Olax subscorpioidea
Cola urceolata
Mallotus oppositifolius
Hylotelephium telephium
Alstonia congensis
Autranella congolensis
Phillyrea latifolia
Alchornea laxiflora
Frangula alnus
Trichilia prieureana
Thomandersia laurifolia
Leucanthemum vulgare
Melilotus albus
Entandrophragma candollei
Nephrolepis biserrata
Dalbergia sp.
Pancovia laurentii
Afzelia bipindensis
Succisa pratensis
Musanga cecropioides
Craterispermum laurinum
Rauvolfia vomitoria
Lovoa trichilioides
Lapsana communis
Panicum maximum
Gmelina arborea
Caloncoba welwitschii
Anonidium mannii
Ribes alpinum
Geranium nodosum
Whitfieldia elongata
Piptadeniastrum africanum
Pseudoturritis turrita
Pteris similis
Asplenium onopteris
Polypodium mantoniae
Dracaena arborea
Copaifera salikounda
Melodinus cochinchinensis
Homalomena aromatica
Stenochlaena palustris
Bulbophyllum reclusum
Ceiba pentandra
Bambusa spinosa
Micromelum hirsutum
Selaginella moellendorffii
Persicaria minor
Selaginella delicatula
Pachyrhizus erosus
